season,week,celebrity_name,share_q10,share_q50,share_q90,rel_ci80
20,3,Chris Soules,0.0,0.0009572300643154236,0.0019363713098495944,0.0019363713098495944
20,3,Patti LaBelle,0.00019658669539138917,0.00020000999999999984,0.0002034333046086105,6.846609217221343e-06
20,3,Suzanne Somers,0.0,2.660611014030186e-05,7.630369007232477e-05,7.630369007232477e-05
20,3,Michael Sam,0.0,1.0000000000001598e-08,1.8924036788088906e-05,1.8924036788088906e-05
20,3,Charlotte McKinney,0.0,1e-08,3.433304608610685e-06,3.433304608610685e-06
20,4,Willow Shields,0.0,0.5827332433333332,1.0,1.0
20,4,Chris Soules,0.25019334388219877,0.25020001000000003,0.2502066761178013,1.3332235602514508e-05
20,4,Suzanne Somers,0.16685027238235284,0.16686667666666657,0.1668830809509803,3.280856862747372e-05
20,4,Patti LaBelle,8.517877595136444e-05,0.00020000999999979802,0.0003148412240482316,0.00022966244809686712
20,4,Michael Sam,0.0,1.0000000286183531e-08,0.00011484122404871976,0.00011484122404871976
20,4,Noah Galloway,0.0,1.0000000096434599e-08,0.0008421234033941833,0.0008421234033941833
20,4,Robert Herjavec,0.0,1.0000000078003162e-08,0.006216052226331739,0.006216052226331739
20,4,Riker Lynch,0.0,1.0000000004277414e-08,0.006216052226331665,0.006216052226331665
20,4,Nastia Liukin,0.0,1.0000000001675329e-08,0.04592431377067775,0.04592431377067775
20,4,Rumer Willis,0.0,1.0000000001675329e-08,0.016895248526199617,0.016895248526199617
20,5,Rumer Willis,0.0,0.4415716769815611,1.0,1.0
20,5,Robert Herjavec,0.2668655026082039,0.2668666766666665,0.26686785072512914,2.348116925232624e-06
20,5,Nastia Liukin,0.0,0.0788141315092196,0.28966381790665546,0.28966381790665546
20,5,Riker Lynch,0.0,0.07881413150921938,0.28966381790665524,0.28966381790665524
20,5,Chris Soules,0.06686215640324994,0.06686667666666676,0.06687119693008359,9.040526833647977e-06
20,5,Patti LaBelle,0.0668621564032496,0.06686667666666643,0.06687119693008325,9.040526833647977e-06
20,5,Noah Galloway,0.0001894387526661146,0.00020001000000006243,0.00021058124733401026,2.1142494667895657e-05
20,5,Willow Shields,0.0,1.0000000042441335e-08,0.0038628371551721443,0.0038628371551721443
20,5,Suzanne Somers,0.0,1.0000000035944593e-08,1.058124733398376e-05,1.058124733398376e-05
20,6,Riker Lynch,0.0,0.5986246615053955,1.0,1.0
20,6,Nastia Liukin,0.0,0.12080751247664426,0.2578716248537027,0.2578716248537027
20,6,Willow Shields,0.0,0.12080751247664426,0.2578716248537027,0.2578716248537027
20,6,Robert Herjavec,0.1044861517696151,0.1113111211111111,0.11813609045260712,0.013649938682992024
20,6,Rumer Willis,0.0,0.034057076938012076,0.08448077732279922,0.08448077732279922
20,6,Chris Soules,0.0,0.014192095492192816,0.044776008722042265,0.044776008722042265
20,6,Noah Galloway,0.0,0.0002000099999999571,0.011451834226687975,0.011451834226687975
